Subject,Mean_r,Median_r,Q25_r,Q75_r,Minimum_r,SD_r,N_valid,IQR_r
292,0.9928527,0.9932107,0.992317259311676,0.9932859539985657,0.99214387,0.0005118955,5,0.992 - 0.993
293,0.99273205,0.9928036,0.9926088452339172,0.9928246736526489,0.9920013,0.00045580408,5,0.993 - 0.993
294,0.9954616,0.99555224,0.9953087568283081,0.995622992515564,0.99477255,0.00041948011,5,0.995 - 0.996
295,0.9959059,0.9958988,0.9953401684761047,0.9965898394584656,0.99507254,0.0006330102,5,0.995 - 0.997
296,0.9919478,0.9920635,0.9915671944618225,0.9923169016838074,0.9910223,0.00060432125,5,0.992 - 0.992
297,0.99286616,0.9924055,0.9923805594444275,0.9925764799118042,0.99221015,0.00095298985,5,0.992 - 0.993
298,0.98373497,0.9835751,0.9827200770378113,0.9863308668136597,0.97833896,0.0032469227,5,0.983 - 0.986
299,0.99070466,0.9908701,0.9907090067863464,0.9913815855979919,0.9890243,0.0008949109,5,0.991 - 0.991
300,0.9917515,0.9919908,0.9909564256668091,0.992412805557251,0.99092084,0.00068445405,5,0.991 - 0.992
301,0.9933907,0.9931682,0.9930680990219116,0.9938278198242188,0.9928022,0.00048489845,5,0.993 - 0.994
302,0.99307454,0.9934492,0.9931713342666626,0.993733286857605,0.9903049,0.0014792703,5,0.993 - 0.994
303,0.99468195,0.9947848,0.9940175414085388,0.994989812374115,0.9939476,0.0006422499,5,0.994 - 0.995
304,0.995746,0.99561757,0.995358943939209,0.9963998794555664,0.99493843,0.0005820953,5,0.995 - 0.996
305,0.9924175,0.9924368,0.9922015070915222,0.9928226470947266,0.99162036,0.00048845087,5,0.992 - 0.993
306,0.9924668,0.9925582,0.9924504160881042,0.992601215839386,0.99149644,0.0005563688,5,0.992 - 0.993
307,0.9942163,0.99428815,0.9935890436172485,0.9949285387992859,0.9931505,0.00075745577,5,0.994 - 0.995
308,0.99361116,0.9932113,0.9930756092071533,0.9935854077339172,0.9929406,0.0008437697,5,0.993 - 0.994
309,0.991387,0.9916309,0.991159975528717,0.9920895099639893,0.9896671,0.0009553405,5,0.991 - 0.992
310,0.9928192,0.9927567,0.9920628666877747,0.9930522441864014,0.99195576,0.0008338094,5,0.992 - 0.993
311,0.9927721,0.993171,0.9922288656234741,0.9933887124061584,0.9908241,0.0011667717,5,0.992 - 0.993
312,0.98740625,0.9893161,0.9877429604530334,0.9894419312477112,0.9808004,0.003374682,5,0.988 - 0.989
313,0.9944906,0.99433696,0.9933508634567261,0.9956739544868469,0.99302673,0.0012119003,5,0.993 - 0.996
314,0.9936182,0.9933389,0.9932596683502197,0.9936221241950989,0.99302506,0.00064255495,5,0.993 - 0.994
315,0.9902382,0.9904019,0.9901084899902344,0.9904161095619202,0.9890348,0.00070807565,5,0.99 - 0.99
